city,region,country,rank_display,institution,location code,size,focus,research,status,ar_score,er_score,fsr_score,cpf_score,ifr_score,isr_score,irn_score,ger_score,sus_score,overall_score,year,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,check_city,longitude,latitude
Moscow,Europe,Russia,399,HSE University,RU,XL,FO,VH,A,27.3,31.9,90.7,1.9,6.3,16.1,71.1,13.4,5.1,28,2024,35.7,21.1,28.8,30.2,32.6,60.6,yes,37.63057718,55.75751872
Ames,North America,United States,400,Iowa State University,US,L,CO,VH,A,20,13.5,8.4,58.7,4.6,11.1,50.9,27.2,51.8,27.9,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-93.64902652,42.02665727
Brno,Europe,Czech Republic,400,Masaryk University,CZ,XL,CO,VH,A,23.2,32.2,10.4,15.2,31,68.7,56.2,14.6,69.9,27.9,2024,44.8,18.7,32.4,42.5,30.5,76.5,yes,16.60187108,49.19986682
Lisbon,Europe,Portugal,400,Universidade Nova de Lisboa,PT,L,FC,VH,A,28,20.2,19.6,24.2,24,47,63.5,18.8,40.2,27.9,2024,51.1,35.1,43.5,44.9,47.5,42.3,yes,-9.166284437,38.7364382
Granada,Europe,Spain,403,University of Granada,ES,XL,FC,VH,A,44,9.8,5.6,23.3,3.4,16.1,96.8,5.1,36.1,27.8,2024,48.4,23.6,36.6,45.1,44,78.2,no,-3.673672782,37.18091772
Maslak-Istanbul,Asia,Turkey,404,Istanbul Technical University,TR,L,FO,VH,A,24.2,60.4,12.1,13.3,7.3,18.3,37.2,23,63.1,27.6,2024,33.8,13.2,24,30.3,25.8,39.3,no,29.02276518,41.10559407
Riverside,North America,United States,404,"University of California, Riverside",US,L,FC,VH,A,17.5,7,6.7,59.9,63,9.1,45.1,10,46.6,27.6,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-117.3306393,33.9737054
Quezon City,Asia,Philippines,404,University of the Philippines,PH,XL,FC,HI,A,34.4,58.9,38,1.9,1.6,1.1,9.3,35.3,38.7,27.6,2024,33.6,8.3,21.6,35.2,17.9,25.9,no,117.7219736,12.43423608
Auckland,Oceania,New Zealand,407,Auckland University of Technology (AUT),NZ,L,CO,VH,A,19.3,11.7,10.3,18.5,100,99.3,12,19.3,71.5,27.4,2024,73.2,39.1,57,75.9,63.2,95.4,yes,174.7639056,-36.85360977
New Delhi,Asia,India,407,University of Delhi,IN,L,FC,VH,A,36.1,28.2,3.9,22.5,1.4,1.7,24.7,91.4,31,27.4,2024,22.2,6.2,14.6,23.5,15.6,60.7,no,77.16127698,28.58428238
Fort Collins,North America,United States,409,Colorado State University,US,L,CO,VH,A,18.8,18.2,56.8,20.3,12.3,4.2,54.9,15,97.7,27.3,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-105.087414,40.5729431
Santiago,Latin America,Chile,410,Universidad de Santiago de Chile (USACH),CL,L,FC,HI,A,43.3,72.9,8.7,4,6.6,2.2,7.3,4,12.9,27.2,2024,43.1,13.4,29,43.3,40.6,35.7,yes,-70.69032035,-33.4522328
Lawrence,North America,United States,410,University of Kansas,US,L,FC,VH,A,15.1,13.3,83.6,9,72.6,7.8,35.7,23.5,71.8,27.2,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-95.25837102,38.95434387
Toowoomba,Oceania,Australia,410,University of Southern Queensland ,AU,M,CO,VH,A,8.5,6.8,4.5,59.6,76.1,26.3,60.6,12,51.2,27.2,2024,72.8,36.6,55.6,73.9,66.9,93.6,no,151.8202463,-27.572553
Oxford,Europe,United Kingdom,413,Oxford Brookes University,UK,L,CO,HI,A,28.9,29.7,13.8,8.4,68.8,70.3,27.1,18.4,34.3,27.1,2024,72.6,45.6,59.8,69.1,64.2,82,yes,-1.232060102,51.755172
Egham,Europe,United Kingdom,413,Royal Holloway University of London,UK,M,CO,VH,A,16,5.7,13.7,36.3,94.4,88.7,23.7,11.1,38.1,27.1,2024,63.7,33.5,49.4,55.5,63.9,90.1,no,-0.569324323,51.4247096
Townsville,Oceania,Australia,415,James Cook University,AU,M,FC,VH,A,15.4,8.7,14.1,51.1,42,13.5,42.5,9,83.3,27,2024,72.8,36.6,55.6,73.9,66.9,93.6,no,79.78687122,-8.72078595
Dolgoprudny,Europe,Russia,415,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),RU,M,FO,VH,A,19.8,19.9,96,16,31.4,53.1,5.4,15.7,1.2,27,2024,29.5,9.9,20.2,25.9,26.2,41.5,no,37.51736848,55.92972427
Cairo,Africa,Egypt,415,The American University in Cairo,EG,M,CO,HI,B,30.3,23.8,42.8,4.6,97.9,3.9,1.4,63.3,16.3,27,2024,29.6,5.5,18.2,27.8,23.3,15.3,yes,31.20491004,30.05620659
Tomsk,Europe,Russia,418,Tomsk State University,RU,M,CO,VH,A,23.1,10.9,99.4,5.1,23.7,91.5,23.4,7.3,3,26.9,2024,29.5,9.9,20.2,25.9,26.2,41.5,no,84.94493808,56.46949997
Sao Paulo,Latin America,Brazil,419,UNESP,BR,XL,FC,VH,A,39.3,34.6,15,16.2,6.2,2.8,34.5,5.7,53.7,26.8,2024,40,14.3,27.8,36.5,35.2,25.6,yes,-57.78503099,-14.2754
Pullman,North America,United States,419,Washington State University,US,L,FC,VH,A,24.4,17.9,16.2,35.4,50,5.5,46.5,11.1,49.7,26.8,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-117.1857658,46.7311772
Graz,Europe,Austria,421,Graz University of Technology,AT,M,FO,VH,A,14.5,11,99.5,13.6,75,58.8,10.4,13.6,4.2,26.7,2024,65.2,21.7,44.6,61.9,56.1,89.3,yes,15.44527962,47.06383438
Novosibirsk ,Europe,Russia,421,Novosibirsk State University,RU,M,CO,VH,A,27.5,14.4,93.5,12.6,6.7,56.3,5.3,12.9,6.8,26.7,2024,29.5,9.9,20.2,25.9,26.2,41.5,no,83.09181348,54.84774617
Liege,Europe,Belgium,421,Universite de Liege,BE,L,FC,VH,A,18.1,16.3,12.9,27.2,50.7,48.5,79.3,16.2,47.8,26.7,2024,63,21.4,43.3,56.1,67.8,90.7,no,5.573483577,50.64082737
Strasbourg,Europe,France,421,Universite de Strasbourg,FR,XL,FC,VH,A,39.6,7.9,5.3,23.1,35.6,38.6,70.2,10.9,14.9,26.7,2024,66,22.3,45.3,68.6,57.9,83.4,no,7.73225505,48.58228091
Bruce,Oceania,Australia,421,University of Canberra ,AU,M,CO,VH,A,13.7,7.3,2.3,51.7,87,58.9,8.9,9.8,55.2,26.7,2024,72.8,36.6,55.6,73.9,66.9,93.6,no,149.0813387,-35.23861202
Limerick,Europe,Ireland,426,University of Limerick,IE,L,FC,HI,A,17.5,29.1,14,21.9,88.4,28.6,34.6,13.9,58.9,26.6,2024,66.5,47.3,57.4,58.9,65.9,82,no,-8.575012123,52.67358807
Chennai,Asia,India,427,Anna University,IN,L,FO,VH,A,8.5,8.5,5.3,99.8,,1.5,33.8,9.8,,26.5,2024,22.7,5.8,14.7,26.1,12.6,82.6,yes,80.11379744,12.98259493
Segovia,Europe,Spain,428,IE University,ES,M,FO,HI,C,7,40.9,56.2,2.6,94.6,100,1,39.4,6,26.4,2024,48.4,23.6,36.6,45.1,44,78.2,no,-4.233034806,40.7144969
Singapore,Asia,Singapore,429,Singapore University of Technology and Design,SG,S,SP,,,7,5.8,99.2,64.6,,,3.1,7.5,,26.3,2024,81.9,71.9,77.1,75,55.3,103,yes,103.9611836,1.341257999
Trento,Europe,Italy,429,University of Trento,IT,L,CO,VH,A,24.6,8.9,19.3,44,26.9,6.2,61,9.3,34.9,26.3,2024,58.9,21.1,41,56.8,55,62.8,no,11.12053418,46.06686717
Istanbul,Asia,Turkey,431,Koc University,TR,M,FC,HI,B,22.4,47.3,24,28.6,27.3,11.2,6.4,11,29.9,26.2,2024,36.9,17.7,27.8,32.5,33.4,39.6,yes,28.83012138,41.11443872
Murdoch,Oceania,Australia,431,Murdoch University,AU,M,CO,VH,A,7.3,5.3,5.4,53.1,86.3,76.6,40.1,14.2,23.7,26.2,2024,72.8,36.6,55.6,73.9,66.9,93.6,no,93.07985501,-4.5323855
Taipei City,Asia,Taiwan,431,National Taipei University of Technology,TW,M,FO,VH,A,15,57.7,27,34.3,21.1,18.2,1.3,17.3,12.6,26.2,2024,49,13.7,32.2,61.8,24.8,80,no,121.5318241,25.04388838
Taipei City,Asia,Taiwan,431,National Taiwan Normal University,TW,M,CO,VH,A,34.5,20.8,65.4,5.9,14.5,26.7,1.5,14.7,43.2,26.2,2024,49,13.7,32.2,61.8,24.8,80,no,121.5220362,25.01692859
Stirling,Europe,United Kingdom,431,University of Stirling,UK,M,CO,VH,A,11.5,10.2,10.5,34.7,71.9,83.5,14.4,14.8,79.8,26.2,2024,63.7,33.5,49.4,55.5,63.9,90.1,no,-3.920332823,56.1460919
Dublin,Europe,Ireland,436,Dublin City University,IE,L,FC,HI,A,19.7,27,25.6,12.4,76,19.3,19.3,24.8,81.7,26,2024,73.4,56.9,65.6,63.3,76.7,79.9,yes,-6.261415223,53.3853316
Seoul,Asia,South Korea,436,Sejong University ,KR,L,CO,VH,B,13.8,17.3,14.7,65.5,24.6,26.7,29.2,5.7,8.7,26,2024,70.3,29.1,50.8,92.1,37.4,91.3,yes,127.0710596,37.55180177
Tampere,Europe,Finland,436,Tampere University,FI,L,FC,VH,A,22.5,19.5,23.9,31.8,32,6.4,56.4,20.6,37.2,26,2024,61.7,19.9,41.9,59.2,62,101.2,yes,23.73671743,61.47677549
Beijing,Asia,China,436,University of Science and Technology Beijing,CN,L,CO,VH,A,12.6,3,10.7,97.3,3.3,3,9.2,6.2,3.3,26,2024,37.1,26.4,32,37.8,23.9,82.2,yes,116.3574511,39.98946097
St. Gallen,Europe,Switzerland,436,University of St.Gallen (HSG),CH,M,SP,,A,9,27.6,6.2,22.8,100,83.1,1,94.8,1.6,26,2024,112.2,52.8,84,116.7,104.1,118.9,no,9.371567276,47.43086467
Wurzburg,Europe,Germany,440,Julius-Maximilians-Universitat Wurzburg,DE,L,FC,VH,A,17.4,6,4.9,68,35.5,16.4,41.9,9.5,11.7,25.9,2024,62.7,26.3,45.4,57.6,52.5,101,no,9.932685077,49.78818137
Dundee,Europe,United Kingdom,441, University of Dundee,UK,L,FC,HI,A,18.3,13.6,37.5,14.2,96,79.9,27.4,10.5,21.8,25.9,2024,63.7,33.5,49.4,55.5,63.9,90.1,no,-2.984717723,56.45824467
Quebec,North America,Canada,441,Universite Laval,CA,L,FC,VH,A,19.9,11,25.6,25.1,67.4,36.3,55.4,24.4,31,25.9,2024,68.4,36,53.1,70.7,64,83.3,no,-71.27731732,46.78174627
Salt Lake City,North America,United States,441,University of Utah,US,L,FC,VH,A,15.9,6,53,36.5,25.3,10.1,54.4,14.9,49,25.9,2024,70.3,41.7,56.8,66.9,64.7,131.7,yes,-116.8333464,39.37987407
Athens,Europe,Greece,444,National and Kapodistrian University of Athens,GR,XL,FC,VH,A,26.3,31.6,2,29.1,9.9,16.2,72.8,28.9,16.1,25.8,2024,55.9,16.4,37.2,49.5,54.9,43.3,yes,23.73120228,37.98074577
Storrs,North America,United States,444,University of Connecticut,US,L,FC,VH,A,15.1,6.9,14.5,41.6,47,19,61.4,21.7,61.9,25.8,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-72.24784642,41.81354147
Birmingham,Europe,United Kingdom,446,Aston University,UK,L,CO,VH,A,12.9,22.8,10,34.1,93,38.3,50.5,18.1,12.3,25.7,2024,61.6,30.8,47,51.9,60.8,97.5,yes,-1.890822723,52.48671377
Linz,Europe,Austria,446,Johannes Kepler University Linz,AT,M,CO,VH,A,12.5,13.5,82.9,16.1,86.3,27.2,26.5,11.1,18.4,25.7,2024,67.1,20.9,45.2,67,57.8,87.1,yes,14.31386828,48.33728667
Knoxville,North America,United States,446,"The University of Tennessee, Knoxville",US,L,FC,VH,A,10.3,15.4,10.8,72.5,4.2,2.5,45.2,11.9,30.7,25.7,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-83.93203132,35.95440127
Nagoya,Asia,Japan,446,Toyota Technological Institute in Japan,JP,S,FO,VH,C,5.2,1.6,37.5,96.4,7.7,1.6,1,8.4,,25.7,2024,50.7,15.1,33.8,55.4,30.9,99.5,no,136.9804218,35.10661167
Jyvaskyla,Europe,Finland,446,University of Jyvaskyla,FI,M,FO,VH,A,17.2,12.5,86.2,15.3,40.9,2.8,54.7,11.4,30.2,25.7,2024,65.5,20.8,44.3,61.6,63.8,97.3,no,25.72905868,62.23653168
Tehran,Asia,Iran,451,Iran University of Science and Technology,IR,L,FO,VH,A,6.6,23.2,2.5,94.8,,1.5,11.1,5.5,1.5,25.6,2024,29.7,12.4,21.5,23.1,18.2,18.2,yes,51.50423248,35.74177537
Changsha,Asia,China,452,Central South University,CN,XL,FC,VH,A,8.8,3.4,5.6,98.4,6.6,3.6,13.5,9.9,8.9,25.5,2024,34.1,13.4,24.3,37.6,21,60.5,no,112.9299351,28.16436997
Villeurbanne,Europe,France,452,Universite Claude Bernard Lyon 1,FR,XL,FC,VH,A,18.9,4.1,8.2,55.3,7.9,13.2,90.8,8.8,26.6,25.5,2024,66,22.3,45.3,68.6,57.9,83.4,no,4.852526189,45.7604677
Prague,Europe,Czech Republic,454,Czech Technical University in Prague,CZ,L,SP,,A,21.5,37.6,75.8,4.1,25.6,39.2,15.3,13.8,1.6,25.2,2024,51.5,26.8,39.8,45.5,38.9,65,yes,14.39217628,50.10317487
Indore,Asia,India,454,Indian Institute of Technology Indore (IIT Indore),IN,S,FO,VH,A,5.6,4.3,33.3,94.4,2.3,1.1,1.2,8.4,2,25.2,2024,22.2,6.2,14.6,23.5,15.6,60.7,no,75.76868833,22.574782
Nanjing,Asia,China,454,Southeast University,CN,XL,FC,VH,A,12.8,7.4,23.9,73.1,15.1,3.5,21.1,8.8,16.9,25.2,2024,31.6,12.6,22.6,37,17.8,63.9,yes,118.7916351,32.05598097
Muscat,Asia,Oman,454,Sultan Qaboos University,OM,M,FC,VH,A,16.7,13.7,56.7,18.4,100,3.4,48.3,17.4,8,25.2,2024,45.6,16.2,31.7,38.9,37.5,82.7,yes,58.16955168,23.59122138
Mannheim,Asia,Germany,454,Universitat Mannheim,DE,M,FO,VH,A,16.1,48.6,2.1,45.1,29.1,20.9,2,23.8,2.5,25.2,2024,65.5,22.2,44.9,59.3,47.9,104.4,yes,8.460876277,49.48311017
Colchester,Europe,United Kingdom,459,"Essex, University of",UK,L,CO,VH,A,16.4,5.1,13,25.6,99.8,99,40.1,13.4,9.6,25.1,2024,63.7,33.5,49.4,55.5,63.9,90.1,no,-0.680559658,51.7893306
Potsdam,Europe,Germany,460,Universitat Potsdam,DE,L,FO,VH,A,16,3.1,16.4,38.6,51,21.8,86.3,7.2,42.6,25,2024,62.7,26.3,45.4,57.6,52.5,101,no,12.97338846,52.40457691
Tallahassee,North America,United States,461,Florida State University,US,XL,FC,VH,A,25.1,25.7,6.8,30.7,15.6,3.9,40.1,20.5,54.3,24.9,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-84.30053282,30.44208697
Moscow,Europe,Russia,461,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),RU,S,FO,VH,A,10.2,10.1,99,10.9,54.1,90.7,2,18,1.2,24.9,2024,35.7,21.1,28.8,30.2,32.6,60.6,yes,37.66173488,55.65020507
Jena,Europe,Germany,461,Universitat Jena,DE,L,FC,VH,A,18.5,6,99.9,10,,22.4,84,8.1,16.1,24.9,2024,62.7,26.3,45.4,57.6,52.5,101,no,11.42116775,50.92239701
Mainz,Europe,Germany,464,Johannes Gutenberg Universitat Mainz,DE,XL,FC,VH,A,22.6,12.7,54.5,14.8,38.5,16.2,70.2,10.4,19,24.8,2024,62.7,26.3,45.4,57.6,52.5,101,no,8.238980277,49.99264027
Golden,North America,United States,465,Colorado School of Mines,US,M,FO,VH,A,7.2,9.6,19.7,70.8,29.6,9,2.3,17.4,42,24.7,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-105.2251457,39.75104747
Umea,Europe,Sweden,465,Umea University,SE,L,FC,VH,A,19.7,13.9,68.3,14.9,23.8,9.6,44.8,12.7,47.8,24.7,2024,62.2,23.1,43.6,61.8,56.1,94.6,no,20.30287118,63.82022238
Talence,Europe,France,465,University of Bordeaux,FR,XL,FO,VH,A,30.2,5.3,14.4,21.4,25.6,19.5,91.2,11.9,35.8,24.7,2024,66,22.3,45.3,68.6,57.9,83.4,no,-0.634404674,44.81503204
Sharjah,Asia,United Arab Emirates,465,University of Sharjah,AE,L,CO,VH,B,16.7,18.8,5.5,13.5,100,99.7,35.9,14.1,24.6,24.7,2024,46.5,23.8,35.8,35.6,32.3,71.5,yes,55.47572958,25.28676528
Be'er Sheva,Asia,Israel,469,Ben-Gurion University of The Negev,IL,L,FC,VH,A,14.6,14.2,11.7,52.7,65.3,15.7,20.1,10.5,18.2,24.6,2024,67.2,31.2,50.1,60.2,71.9,79.5,no,34.79697968,31.26142597
Chicago,North America,United States,469,Illinois Institute of Technology,US,M,CO,VH,B,14.2,15.6,13,48.5,30.1,94.1,1.5,13.6,2.5,24.6,2024,80,58.8,69.9,87,74.1,119.9,yes,-87.65517432,41.85701771
Pavia,Europe,Italy,469,Universita degli Studi di Pavia,IT,L,FC,VH,A,21.2,5.8,7.5,51,6.1,13.2,53.1,13.2,44.4,24.6,2024,58.9,21.1,41,56.8,55,62.8,no,9.130757237,45.19133045
Higashihiroshima City,Asia,Japan,472,Hiroshima University,JP,L,FC,VH,A,23.6,14,81,9.6,17.3,12.9,30,9.8,37.5,24.5,2024,50.7,15.1,33.8,55.4,30.9,99.5,no,132.4343491,34.38507443
Beijing,Asia,China,473,Beihang University (former BUAA),CN,L,CO,VH,A,13.1,5.5,36.1,68.7,7.5,4.9,7,13.1,15.2,24.4,2024,37.1,26.4,32,37.8,23.9,82.2,yes,116.3351213,39.97985154
Ekaterinburg,Europe,Russia,473,Ural Federal University - UrFU,RU,XL,CO,VH,A,21.3,13.3,93.2,2.1,5.7,25.8,63.3,7.4,24.8,24.4,2024,29.5,9.9,20.2,25.9,26.2,41.5,no,60.61345028,56.84032457
Vilnius,Europe,Lithuania,473,Vilnius University ,LT,L,FC,HI,A,19.8,27.8,83,3,13,14.9,43.5,25.5,11.7,24.4,2024,50.2,19.9,35.8,44.4,51.1,64.1,yes,25.28507198,54.68257567
Kobe City,Asia,Japan,476,Kobe University,JP,L,FC,VH,A,28.5,38.8,53.2,11.6,7.4,7.7,8.7,11.9,10.9,24.3,2024,50.7,15.1,33.8,55.4,30.9,99.5,no,134.9955326,34.69877906
Valencia,Europe,Spain,476,Universitat Politecnica de Valencia,ES,L,CO,VH,A,26.2,12,47,19.6,4.3,23.9,56.8,8.1,28.1,24.3,2024,45.1,23.6,34.9,44,40.9,94.5,yes,-0.343674124,39.4808895
Konstanz,Europe,Germany,478,Universitat Konstanz,DE,M,CO,VH,A,20.4,6.9,33.7,21.2,79.8,14.2,24.1,15.6,55.8,24.2,2024,62.7,26.3,45.4,57.6,52.5,101,no,9.185369276,47.68988027
Leipzig,Europe,Germany,479,Universitat Leipzig,DE,L,FC,VH,A,25.4,10.2,71,9.6,,15.8,59.3,10,34.6,24.1,2024,61.9,20.4,42.2,59.6,48.9,88.7,yes,12.06400172,51.34131996
Rolla,North America,United States,480,Missouri University of Science and Technology,US,M,CO,VH,A,4.6,4.8,6.5,85.1,61.1,12.3,2.1,9.6,1.6,24,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-91.77820202,37.95370777
Bangor,Europe,United Kingdom,481,Bangor University,UK,M,FC,VH,A,8.8,5.3,14.9,39.7,42.2,55.4,24.6,13,87.4,23.9,2024,63.7,33.5,49.4,55.5,63.9,90.1,no,-4.132562123,53.22952047
Kunitachi City,Asia,Japan,481,Hitotsubashi University,JP,M,SP,,A,14.4,80.6,28.6,2.2,21.6,22.4,1,38.4,1.1,23.9,2024,50.7,15.1,33.8,55.4,30.9,99.5,no,139.4428828,35.69440347
Hanover,Europe,Germany,481,Leibniz University Hannover,DE,L,CO,VH,A,21.3,33.2,16.8,14.8,40.5,30.6,44.3,13.1,29.9,23.9,2024,64.7,21,44,57.5,59.6,95.6,yes,9.715205577,52.38222157
Almaty,Asia,Kazakhstan,481,Satbayev University,KZ,M,FO,VH,A,23.3,36,84.3,1.2,40.5,4.2,1,10.5,1.3,23.9,2024,35.9,19.4,28.1,33.3,33.7,37.7,yes,76.92799018,43.23668992
Milan,Europe,Italy,481,University of Milano-Bicocca ,IT,L,FO,VH,A,20.6,9.6,2.9,57.1,3.3,4.6,45.2,13.2,29.4,24,2024,69.7,40.6,55.9,65,70.1,49.8,yes,9.209933676,45.51709077
Valencia,Europe,Spain,485,Universitat de Valencia,ES,XL,FC,VH,A,33.9,7.3,10.9,22.4,2.3,16.6,83.4,6.6,31.6,23.8,2024,45.1,23.6,34.9,44,40.9,94.5,yes,-0.361435124,39.4788593
Chengdu,Asia,China,486,University of Electronic Science and Technology of China,CN,XL,CO,VH,A,4.3,3,8.6,96.4,3.4,2.6,21.7,7.6,3.5,23.7,2024,31.8,7.7,20.3,35.7,19.9,68.5,yes,104.0953601,30.66812055
Guelph,North America,Canada,486,University of Guelph,CA,L,CO,VH,A,13.5,20.9,5.8,47.5,43.5,15.1,22.3,13.1,36.3,23.7,2024,68.4,36,53.1,70.7,64,83.3,no,-80.22875532,43.53272167
Bogor,Asia,Indonesia,489,IPB University (a.k.a. Bogor Agricultural University),ID,L,CO,VH,A,21.6,39,66.1,1.7,54.6,3.8,1.2,24.1,3.4,23.6,2024,28.5,8.3,18.9,33.6,14.4,25.8,no,106.7207479,-6.55394839
Rome,Europe,Italy,489,"University of Rome ""Tor Vergata""",IT,L,CO,VH,A,31.5,12.6,7.6,38.1,7.1,16.2,32.8,7.8,15.2,23.6,2024,57.9,28.6,44,53.6,55.8,61.4,yes,12.62667238,41.85146207
Dalian,Asia,China,491,Dalian University of Technology,CN,XL,CO,VH,A,9.1,3.2,16.8,79.8,12.2,3.2,16.3,13.7,8.7,23.5,2024,34.1,13.4,24.3,37.6,21,60.5,no,121.5094182,38.98754108
Buffalo,North America,United States,491,University at Buffalo SUNY,US,L,FC,VH,A,18,8.3,7.8,37.2,42.8,33.3,23.3,24.6,50.6,23.5,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-78.91334128,42.9543922
Iowa City,North America,United States,491,University of Iowa,US,L,FC,VH,A,19.9,11.2,48.2,20.9,22.3,4.6,51.3,22.1,38.4,23.5,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-91.55755202,41.66270777
Seoul,Asia,South Korea,494,Chung-Ang University (CAU),KR,L,FC,VH,B,19.8,36.2,69.5,8.9,13.8,36.3,1.7,12.8,2.5,23.4,2024,70.3,29.1,50.8,92.1,37.4,91.3,yes,126.7624492,37.25622136
Changsha,Asia,China,494,Hunan University ,CN,XL,CO,VH,A,8.6,8.4,13.8,82,4.9,1.9,3.8,18.7,7,23.4,2024,34.1,13.4,24.3,37.6,21,60.5,no,112.9413751,28.17891497
Troy,North America,United States,494,Rensselaer Polytechnic Institute,US,M,CO,VH,B,8.3,7,19.5,70.7,4,44.3,1.6,24.1,2.7,23.4,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-73.68146332,42.72976277
Seville,Europe,Spain,494,Universidad de Sevilla,ES,XL,FC,VH,A,38.8,10.4,16.7,8.5,3.6,16,82,8,29.1,23.4,2024,48.4,23.6,36.6,45.1,44,78.2,no,-5.993805624,37.38075787
Seoul,Asia,South Korea,498,Ewha Womans University,KR,L,FC,HI,B,26.7,23,77.4,7.7,7.8,19.8,1.6,15.3,6.9,23.2,2024,70.3,29.1,50.8,92.1,37.4,91.3,yes,126.944259,37.56185877
Coleraine,Europe,United Kingdom,498,Ulster University,UK,L,CO,VH,A,8.4,13,11.9,12.1,100,90.5,38.5,11.6,63.7,23.2,2024,63.7,33.5,49.4,55.5,63.9,90.1,no,-7.922496104,54.87004979
Newark,North America,United States,498,University of Delaware,US,L,CO,VH,A,10.3,7.9,6.9,59.1,36.3,13.7,28.2,19.8,31.8,23.2,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-75.75318632,39.67795037
Amman,Asia,Jordan,498,University of Jordan,JO,XL,FC,HI,A,29.1,38.8,17.4,3.3,20.6,34.1,13.8,29.8,28.9,23.2,2024,44.5,8.8,27.5,38,36.7,36,yes,35.86697068,32.01610477
